city,state_id,lat,lng,population
Adgateville,GA,33.2232,-83.671,0
Adin,CA,41.1964,-120.9494,0
Adjuntas,PR,18.1638,-66.7235,0
Adjuntas Zona Urbana,PR,18.1638,-66.7235,0
Admire,KS,38.6409,-96.1021,155
Adna,WA,46.629,-123.0612,0
Adolphus,KY,36.6517,-86.2614,0
Adona,AR,35.04,-92.899,203
Adrian,GA,32.5306,-82.592,651
Adrian,MI,41.8994,-84.0447,43850
Adrian,MN,43.6333,-95.9334,1223
Adrian,MO,38.396,-94.3498,1618
Adrian,OR,43.7408,-117.0709,172
Adrian,TX,35.2737,-102.6673,167
Advance,IN,39.9954,-86.6204,514
Advance,MI,45.2161,-85.0807,0
Advance,MO,37.1038,-89.9119,1365
Advance,NC,35.9468,-80.4044,0
Adwolf,VA,36.7929,-81.5927,0
Ady,MD,39.6387,-76.3327,0
Ady,TX,35.4856,-102.1324,0
Aeneas,WA,48.5474,-118.9786,0
Aetna,KS,37.0839,-98.9629,0
Affton,MO,38.5493,-90.3256,0
Afton,CA,35.0364,-116.3797,0
Afton,IA,41.0276,-94.1954,832
Afton,MN,44.9042,-92.8173,2991
Afton,NM,32.0729,-106.9442,0
Afton,NY,42.2291,-75.5247,809
Afton,OK,36.6965,-94.9579,1040
Afton,WY,42.7295,-110.9317,1995
Agar,SD,44.8392,-100.0734,81
Agate,CO,39.4617,-103.9422,0
Agate Beach,OR,44.6773,-124.0618,0
Agawam,MA,42.0695,-72.6148,0
Agawam,MT,48.0,-112.1675,0
Agawam,OK,34.8734,-97.9462,0
Agency,IA,40.9975,-92.3072,635
Agency,MO,39.6699,-94.7588,666
Agenda,KS,39.7073,-97.4323,64
Ages,KY,36.8569,-83.2426,0
Agnes,TX,32.9793,-97.7886,0
Agness,OR,42.5565,-124.069,0
Agnew,NE,41.0169,-96.8147,0
Agnos,AR,36.2773,-91.6915,0
Agoura,CA,34.1431,-118.7379,0
Agoura Hills,CA,34.151,-118.7608,20745
Agra,KS,39.7616,-99.1195,244
Agra,OK,35.895,-96.8702,347
Agricola,KS,38.4195,-95.535,0
Agricola,MS,30.8077,-88.52,0
Agua Dulce,CA,34.5044,-118.316,0
Agua Dulce,TX,27.7827,-97.9098,811
Agua Fria,NM,35.6615,-106.0148,0
Agua Nueva,TX,26.9017,-98.6003,0
Aguada,PR,18.3804,-67.1884,0
Aguada Zona Urbana,PR,18.3804,-67.1884,0
Aguadilla,PR,18.4382,-67.1536,0
Aguadilla Zona Urbana,PR,18.4382,-67.1536,0
Aguanga,CA,33.4522,-116.8555,0
Aguas Buenas,PR,18.2573,-66.1063,0
Aguas Buenas Zona Urbana,PR,18.2573,-66.1063,0
Aguas Claras,PR,18.2447,-65.6662,0
Aguas Claras Comunidad,PR,18.2447,-65.6662,0
Agudo,NM,34.4053,-104.3036,0
Aguila,AZ,33.9376,-113.1665,0
Aguilar,CO,37.4036,-104.655,473
Aguilares,TX,27.4516,-99.0933,0
Aguilita,PR,18.0284,-66.533,0
Aguilita Comunidad,PR,18.0284,-66.533,0
Ahloso,OK,34.7351,-96.6375,0
Ahmeek,MI,47.2984,-88.3971,148
Ahoskie,NC,36.2842,-76.9899,4893
Ahtanum,WA,46.5581,-120.6058,0
Ahuimanu,HI,21.4379,-157.8404,0
Ahwahnee,CA,37.3653,-119.7194,0
Aibonito,PR,18.1398,-66.2659,0
Aibonito Zona Urbana,PR,18.1398,-66.2659,0
Aid,OH,38.5962,-82.4932,0
Aiea,HI,21.3865,-157.9232,0
Aiken,SC,33.5303,-81.7271,30937
Aiken,TX,34.1423,-101.5257,0
Ailey,GA,32.1882,-82.5699,556
Ainaloa,HI,19.5214,-154.9944,0
Ainsworth,IA,41.2901,-91.5545,584
Ainsworth,IN,41.4878,-87.2586,0
Ainsworth,NE,42.5484,-99.8575,1635
Airmont,NY,41.0994,-74.0989,8856
Airport Drive,MO,37.1405,-94.5162,845
Airport Road Addition,TX,27.219,-98.0981,0
Airway Heights,WA,47.6464,-117.5802,6672
Aitkin,MN,46.5295,-93.7059,2009
Ajo,AZ,32.3923,-112.8839,0
Ak Chin,AZ,32.2872,-112.0091,0
Ak-Chin Village,AZ,33.0197,-112.0808,0
Akaska,SD,45.331,-100.1209,45
Akeley,MN,47.0005,-94.7279,430
Akers,MO,37.3762,-91.5538,0
Akhiok,AK,56.9453,-154.2138,71
Akiachak,AK,60.9193,-161.4007,0
Akiak,AK,60.9062,-161.2123,383
Akin,IL,37.9881,-88.7476,0
Akins,OK,35.5042,-94.6698,0
Akra,ND,48.7753,-97.727,0
Akron,AL,32.8785,-87.7429,334
Akron,CO,40.1644,-103.2206,1735
Akron,IA,42.8268,-96.5571,1465
Akron,IN,41.0389,-86.0249,1122
Akron,KS,37.3517,-97.015,0
Akron,MI,43.5667,-83.5143,389
Akron,NY,43.0179,-78.4978,2966
Akron,OH,41.0802,-81.5219,565311
Akron,PA,40.158,-76.2032,3983
Akutan,AK,54.1594,-165.7328,1036
Alabam,AR,36.1526,-93.6813,0
Alabaster,AL,33.2197,-86.8233,32948
Alabaster,MI,44.1864,-83.558,0
Alachua,FL,29.7779,-82.4827,4493
Aladdin,PA,40.6917,-79.6567,0
Aladdin,WY,44.64,-104.1836,0
Alafaya,FL,28.5183,-81.178,0
Alakanuk,AK,62.6893,-164.6303,750
Alamance,NC,36.0283,-79.4894,997
Alameda,CA,37.767,-122.2673,78906
Alameda,NM,35.1867,-106.6181,0
Alamillo,NM,34.2519,-106.9158,0
Alamo,CA,37.8546,-122.013,0
Alamo,GA,32.1469,-82.7798,3389
Alamo,IN,39.9835,-87.0554,65
Alamo,ND,48.5825,-103.4675,68
Alamo,NM,34.4184,-107.5125,0
Alamo,NV,37.3648,-115.163,0
Alamo,TN,35.7832,-89.1166,2457
Alamo,TX,26.1795,-98.1183,19220
Alamo Alto,TX,31.4051,-106.0239,0
Alamo Heights,TX,29.4828,-98.4681,8284
Alamo Oaks,CA,37.8394,-121.993,0
Alamogordo,NM,32.8834,-105.9627,32782
Alamosa,CO,37.4755,-105.877,11015
Alamota,KS,38.4611,-100.3101,0
Alanson,MI,45.4425,-84.7871,743
Alapaha,GA,31.3832,-83.2237,662
Alarka,NC,35.3532,-83.4454,0
Alatna,AK,66.5639,-152.8379,0
Alba,MI,44.9786,-84.9695,0
Alba,MO,37.2372,-94.4176,536
Alba,PA,41.7059,-76.8277,151
Alba,TX,32.7905,-95.6344,516
Albany,CA,37.8898,-122.3018,19688
Albany,GA,31.5776,-84.1762,91284
Albany,IL,41.7861,-90.2166,882
Albany,IN,40.3061,-85.2324,2107
Albany,KY,36.6906,-85.1353,2013
Albany,LA,30.5026,-90.5848,1114
Albany,MN,45.6283,-94.5676,2671
Albany,MO,40.2479,-94.3335,1699
Albany,NY,42.6664,-73.7987,596419
Albany,OH,39.2245,-82.1977,891
Albany,OK,33.8769,-96.16,0
Albany,OR,44.6274,-123.0966,60463
Albany,TX,32.7273,-99.2957,1983
Albany,VT,44.7302,-72.381,184
Albany,WI,42.7069,-89.4367,1011
Albany,WY,41.1868,-106.1255,0
Albee,SD,45.0513,-96.5535,15
Albemarle,NC,35.36,-80.1921,16929
Alberene,VA,37.8865,-78.6164,0
Alberhill,CA,33.7272,-117.3998,0
Albers,IL,38.5452,-89.6143,1165
Albert,KS,38.454,-99.0111,170
Albert,OK,35.2328,-98.4114,0
Albert,TX,30.1938,-98.6017,0
Albert City,IA,42.7816,-94.9491,685
Albert Lea,MN,43.6548,-93.3643,17522
Alberta,AL,32.2321,-87.41,0
Alberta,MN,45.5751,-96.0507,101
Alberta,VA,36.8553,-77.8937,283
Alberton,MT,47.0037,-114.4817,417
Albertson,NY,40.7715,-73.6482,0
Albertville,AL,34.2631,-86.2106,37451
Albertville,MN,45.2365,-93.6617,7401
Albertville,WI,44.96,-91.6004,0
Albia,IA,41.0272,-92.8039,3591
Albin,MS,33.9134,-90.3298,0
Albin,WY,41.417,-104.1016,201
Albion,CA,39.2256,-123.7564,0
Albion,IA,42.1125,-92.9887,469
Albion,ID,42.4095,-113.58,269
Albion,IL,38.3767,-88.0581,1934
Albion,IN,41.3966,-85.4187,2320
Albion,MI,42.2478,-84.7572,8920
Albion,MT,45.1872,-104.2769,0
Albion,NE,41.6877,-97.9984,1599
Albion,NJ,39.7787,-74.9549,0
Albion,NY,43.246,-78.1902,8044
Albion,OK,34.6623,-95.0992,101
Albion,PA,41.8904,-80.3641,4420
Albion,TX,33.859,-95.0308,0
Albion,WA,46.792,-117.2506,591
Alborn,MN,46.973,-92.576,0
Albright,WV,39.4937,-79.6399,286
Albrightsville,PA,41.0117,-75.6068,0
Albuquerque,NM,35.1055,-106.6476,759517
Alburg,VT,44.975,-73.3001,0
Alburnett,IA,42.1494,-91.621,699
Alburtis,PA,40.509,-75.6001,2563
Alcalde,NM,36.0854,-106.0575,0
Alcan,AK,62.7231,-141.1881,0
Alcester,SD,43.0231,-96.6281,748
Alco,AR,35.8876,-92.3671,0
Alcoa,TN,35.8071,-83.9748,9874
Alcoa Center,PA,40.5384,-79.645,0
Alcolu,SC,33.7547,-80.2221,0
Alcoma,FL,27.895,-81.4823,0
Alcova,WY,42.5543,-106.7263,0
Alda,NE,40.8669,-98.469,650
Aldan,PA,39.9224,-75.2882,4154
Alden,IA,42.5106,-93.3806,762
Alden,KS,38.2441,-98.3119,144
Alden,MI,44.8792,-85.273,0
Alden,MN,43.6688,-93.5734,640
Alden,NY,42.8988,-78.4946,2573
Alden,OK,34.9753,-98.5853,0
Alden Bridge,LA,32.7751,-93.7202,0
Alder,MT,45.3217,-112.1093,0
Alder,WA,46.7872,-122.2666,0
Alder Creek,NY,43.4234,-75.2279,0
Alderdale,WA,45.8349,-119.9209,0
Alderson,OK,34.9008,-95.69,287
Alderson,WV,37.7277,-80.6436,2607
Alderton,WA,47.1718,-122.2192,0
Alderwood Manor,WA,47.8145,-122.2676,0
Aldine,TX,29.9123,-95.3785,0
Aldora,GA,33.0509,-84.1759,105
Aldrich,MN,46.3745,-94.9394,47
Aldrich,MO,37.5489,-93.5512,80
Aledo,IL,41.1983,-90.7445,3530
Aledo,TX,32.6973,-97.607,6722
Aleknagik,AK,59.2954,-158.6922,222
Aleneva,AK,58.059,-152.9091,0
Alex,OK,34.9227,-97.7763,549
Alexander,AR,34.6182,-92.4513,2820
Alexander,GA,33.0221,-81.8768,0
Alexander,IA,42.8044,-93.4786,168
Alexander,KS,38.4693,-99.5531,60
Alexander,ND,47.839,-103.6413,303
Alexander,NY,42.902,-78.259,499
Alexander,TX,32.059,-98.2062,0
Alexander,WV,38.7829,-80.2226,0
Alexander City,AL,32.924,-85.9353,9335
Alexander Mills,NC,35.3107,-81.8587,0
Alexandria,AL,33.7675,-85.8792,0
Alexandria,IN,40.2583,-85.676,5024
Alexandria,KY,38.9622,-84.3861,9340
Alexandria,LA,31.2923,-92.47,82995
Alexandria,MN,45.8748,-95.3784,20814
Alexandria,MO,40.3598,-91.4595,151
Alexandria,NE,40.2475,-97.3877,172
Alexandria,OH,40.09,-82.6119,530
Alexandria,PA,40.5582,-78.0995,329
Alexandria,SD,43.654,-97.7799,626
Alexandria,TN,36.0791,-86.0381,972
Alexandria,VA,38.8184,-77.0861,155810
Alexandria Bay,NY,44.34,-75.9161,1063
Alexis,IL,41.0629,-90.5555,799
Alfalfa,OK,35.2189,-98.6073,0
Alfalfa,OR,44.0773,-121.017,0
Alfarata,PA,40.6619,-77.4559,0
Alford,FL,30.6961,-85.3946,466
Alfordsville,IN,38.5607,-86.9482,105
Alfred,ME,43.4767,-70.72,0
Alfred,ND,46.603,-98.9993,0
Alfred,NY,42.2543,-77.7897,4203
Alfred,TX,27.8742,-97.9799,0
Alger,OH,40.7095,-83.8439,847
Alger,WA,48.6176,-122.3369,0
Algerita,TX,31.2279,-98.8531,0
Algoa,TX,29.4025,-95.1694,0
Algodones,NM,35.3801,-106.473,0
Algoma,ID,48.1969,-116.5721,0
Algoma,MS,34.1788,-89.0336,613
Algoma,WI,44.6057,-87.4465,3002
Algona,IA,43.0743,-94.2302,5296
Algona,WA,47.2819,-122.2504,3156
Algonac,MI,42.6216,-82.5349,4056
Algonquin,IL,42.1629,-88.3158,30947
Algonquin,MD,38.584,-76.0977,0
Algood,TN,36.2,-85.4467,4193
Alhambra,CA,34.084,-118.1355,85474
Alhambra,IL,38.8876,-89.736,657
Ali Chuk,AZ,31.8169,-112.5585,0
Ali Chukson,AZ,31.9115,-111.8016,0
Ali Molina,AZ,31.9025,-111.7805,0
Alianza,PR,18.4533,-66.8556,0
Alianza Comunidad,PR,18.4533,-66.8556,0
Alice,ND,46.76,-97.556,40
Alice,TX,27.7556,-98.0653,21172
Alice Acres,TX,27.7119,-98.108,0
Aliceville,AL,33.1237,-88.1594,2357
Aliceville,KS,38.1545,-95.5519,0
Alicia,AR,35.8943,-91.0832,119
Aline,OK,36.5096,-98.4486,217
Aliquippa,PA,40.6155,-80.2548,9102
Alire,NM,36.4764,-106.5809,0
Aliso Viejo,CA,33.5792,-117.729,51424
Alix,AR,35.4248,-93.7305,0
Alkabo,ND,48.8628,-103.8902,0
Allakaket,AK,66.5649,-152.6453,106
Allamuchy,NJ,40.9223,-74.8114,0
Allandale,FL,29.1217,-80.9764,0
Allardt,TN,36.3807,-84.8811,636
Alleene,AR,33.7701,-94.2605,0
Allegan,MI,42.5299,-85.8462,6416
Allegany,NY,42.0917,-78.4927,1729
Allegany,OR,43.4259,-124.0323,0
Alleghany,CA,39.4666,-120.841,0
Alleghany,VA,37.7473,-80.2403,0
Alleghenyville,PA,40.2327,-75.9762,0
Allegre,KY,36.9287,-87.2172,0
Alleman,IA,41.8158,-93.6094,455
Allen,KS,38.6551,-96.17,176
Allen,LA,31.8354,-93.2885,0
Allen,MD,38.2886,-75.6904,0
Allen,MI,41.9583,-84.7679,188
Allen,NE,42.4144,-96.8432,362
Allen,OK,34.8774,-96.413,935
Allen,SD,43.2792,-101.9266,0
Allen,TX,33.1087,-96.6735,99179
Allen City,KY,37.6119,-82.7291,182
Allen Park,MI,42.2597,-83.2107,27214
Allendale,CA,38.4426,-121.9814,0
Allendale,IL,38.5276,-87.7103,458
Allendale,MI,42.9851,-85.9509,0
Allendale,MO,40.4853,-94.2887,50
Allendale,NJ,41.0332,-74.1332,6853
Allendale,SC,33.008,-81.3092,2893
Allendale,WY,42.8147,-106.3106,0
Allenfarm,TX,30.3994,-96.2438,0
Allenhurst,GA,31.784,-81.6077,663
Allenhurst,NJ,40.2362,-74.0018,487
Allenport,PA,40.0923,-79.8565,522
Allenspark,CO,40.2096,-105.5107,0
Allensville,KY,36.7159,-87.0669,0
Allensville,OH,39.2726,-82.6068,0
Allensville,PA,40.5331,-77.8141,0
Allensworth,CA,35.85,-119.3892,0
Allenton,WI,43.4204,-88.3443,0
Allentown,FL,30.7736,-87.0808,0
Allentown,GA,32.5927,-83.2258,161
Allentown,NJ,40.1778,-74.5872,1810
Allentown,PA,40.5962,-75.4756,678169
Allentown,WA,47.4943,-122.2762,0
Allenville,IL,39.5587,-88.5389,144
Allenville,MO,37.2217,-89.7556,119
Allenville,WI,44.133,-88.619,0
Allenwood,NJ,40.1385,-74.103,0
Allenwood,PA,41.1081,-76.8981,0
Allerton,IA,40.7077,-93.3689,502
Allerton,IL,39.9161,-87.9353,283
Alleyton,TX,29.7066,-96.4864,0
Allgood,AL,33.9064,-86.5178,627
Alliance,FL,30.6099,-85.1135,0
Alliance,NC,35.1435,-76.8084,766
Alliance,NE,42.1021,-102.8768,8397
Alliance,OH,40.9107,-81.1189,31917
Alligator,MS,34.0899,-90.7206,194
Allison,CO,37.0244,-107.4881,0
Allison,IA,42.7518,-92.7957,1013
Allison,NM,35.5242,-108.7851,0
Allison,PA,39.9853,-79.8732,0
Allison,TX,35.6059,-100.1007,0
Allison Park,PA,40.573,-79.9603,0
Allisonia,VA,36.9342,-80.7255,0
Allons,TN,36.442,-85.3447,0
Allouez,WI,44.472,-88.0261,13896
Alloway,NJ,39.5621,-75.351,0
Allport,AR,34.5401,-91.7841,113
Allport,PA,40.966,-78.2066,0
Alluwe,OK,36.6104,-95.4872,0
Allyn,WA,47.3863,-122.8386,0
Alma,AR,35.4914,-94.2183,5672
Alma,CO,39.2852,-106.0654,289
Alma,GA,31.5432,-82.4745,3495
Alma,IL,38.7231,-88.9119,313
Alma,KS,39.0155,-96.2875,792
Alma,MI,43.38,-84.6556,16502
Alma,MO,39.0964,-93.5478,394
Alma,NE,40.1012,-99.3655,1153
Alma,TX,32.2812,-96.5504,363
Alma,WI,44.3365,-91.9223,721
Alma Center,WI,44.437,-90.9128,494
Almanor,CA,40.2146,-121.1762,0
Almedia,PA,41.0144,-76.385,0
Almelund,MN,45.4913,-92.7855,0
Almena,KS,39.8913,-99.7097,389
Almena,WI,45.4149,-92.0382,656
Almeria,NE,41.8258,-99.5221,0
Almira,WA,47.7105,-118.9369,267
Almo,ID,42.1002,-113.6336,0
Almo,KY,36.6948,-88.2784,0
Almon,GA,33.6193,-83.9221,0
Almond,AR,35.6959,-91.7985,0
Almond,NC,35.3698,-83.5652,0
Almond,NY,42.3193,-77.7386,441
Almond,WI,44.2607,-89.4087,429
Almont,CO,38.6647,-106.8462,0
Almont,MI,42.9206,-83.0429,2811
Almont,ND,46.7284,-101.5019,123
Almonte,CA,37.8899,-122.525,0
Almota,WA,46.7029,-117.4694,0
Almy,WY,41.3316,-111.0046,0
Almyra,AR,34.4057,-91.4108,271
Alnwick,TN,35.7481,-84.0377,0
Aloe,TX,28.7667,-97.0761,0
Aloha,OR,45.492,-122.8726,0
Alondra Park,CA,33.8885,-118.335,0
Alorton,IL,38.5849,-90.1137,1915
Alpaugh,CA,35.8876,-119.4873,0
Alpena,AR,36.2897,-93.3043,394
Alpena,MI,45.0745,-83.4383,13767
Alpena,SD,44.183,-98.3684,278
Alpha,IL,41.1917,-90.3806,644
Alpha,MI,46.044,-88.3776,136
Alpha,MN,43.6384,-94.8718,123
Alpha,NJ,40.6599,-75.1569,2296
Alpha,OH,39.7117,-84.0233,0
Alpharetta,GA,34.0704,-84.2739,65338
Alpine,AR,34.229,-93.3791,0
Alpine,AZ,33.8461,-109.1432,0
Alpine,CA,32.8439,-116.7585,0
Alpine,CO,37.6878,-106.5861,0
Alpine,IN,39.5539,-85.1758,0
Alpine,NJ,40.9617,-73.92,1869
Alpine,NY,42.3131,-76.7241,0
Alpine,OR,44.3307,-123.3625,0
Alpine,TN,36.3948,-85.2169,0
Alpine,TX,30.364,-103.6651,6097
Alpine,UT,40.4621,-111.7728,10361
Alpine,WY,43.1608,-111.0182,865
Alpine Village,CA,38.7856,-119.8009,0
Alquina,IN,39.6128,-85.0547,0
Alsace Manor,PA,40.3972,-75.8546,0
Alsatia,LA,32.6129,-91.1823,0
Alsea,OR,44.3818,-123.5957,0
Alsen,LA,30.5713,-91.2043,0
Alsey,IL,39.5593,-90.4329,216
Alsip,IL,41.6701,-87.7368,19158
Alston,GA,32.081,-82.4789,159
Alstown,WA,47.561,-119.9951,0
Alsuma,OK,36.0951,-95.8636,0
Alta,CA,39.2138,-120.8033,0
Alta,IA,42.6717,-95.3045,1933
Alta,UT,40.5817,-111.6227,387
Alta,WY,43.7737,-111.0312,0
Alta Loma,CA,34.1222,-117.5981,0
Alta Sierra,CA,39.1237,-121.0523,0
Alta Vista,IA,43.1968,-92.417,260
Alta Vista,KS,38.863,-96.489,422
Altadena,CA,34.1934,-118.1355,0
Altair,TX,29.5714,-96.4541,0
Altamahaw,NC,36.1868,-79.5051,0
Altamont,IL,39.0571,-88.7474,2296
Altamont,KS,37.187,-95.2938,1043
Altamont,MO,39.8886,-94.0866,200
Altamont,NY,42.7049,-74.034,1723
Altamont,OR,42.198,-121.7249,0
Altamont,PA,40.785,-76.217,0
Altamont,SD,44.8408,-96.6901,33
Altamont,TN,35.4327,-85.7435,1021
Altamont,UT,40.3586,-110.2886,255
Altamont,WY,41.1922,-110.7896,0
Altamonte Springs,FL,28.6616,-81.395,43492
Altaville,CA,38.0838,-120.5619,0
Altavista,VA,37.1229,-79.2858,4686
Altenburg,MO,37.6304,-89.586,352
Altha,FL,30.572,-85.127,530
Altheimer,AR,34.324,-91.8486,869
Altmar,NY,43.511,-76.0037,0
Alto,CA,37.9056,-122.5186,0
Alto,GA,34.4652,-83.5727,1164
Alto,LA,32.3576,-91.8599,0
Alto,MI,42.8567,-85.3803,0
Alto,NM,33.3987,-105.6808,0
Alto,TX,31.6509,-95.0708,1228
Alto Pass,IL,37.5737,-89.3192,378
Alton,FL,30.053,-83.1379,0
Alton,IA,42.9875,-96.0092,1271
Alton,IL,38.9033,-90.1523,80871
Alton,IN,38.1211,-86.4196,55
Alton,KS,39.4677,-98.9486,98
Alton,KY,38.089,-84.935,0
Alton,LA,30.3307,-89.762,0
Alton,MO,36.6901,-91.3947,863
Alton,NH,43.4565,-71.2217,0
Alton,TX,26.2887,-98.3105,16895
Alton,UT,37.4303,-112.5062,119
Alton,VA,36.5732,-79.0028,0
Altona,CO,40.1254,-105.2923,0
Altona,IL,41.115,-90.1648,506
Altona,IN,41.3521,-85.1524,194
Altona,NY,44.8901,-73.6596,0
Altoona,FL,28.9681,-81.6482,0
Altoona,IA,41.6468,-93.4768,17938
Altoona,KS,37.5251,-95.6615,374
Altoona,PA,40.5084,-78.401,76943
Altoona,WA,46.2699,-123.6145,0
Altoona,WI,44.8029,-91.4387,7489
